time,temperature_2m_max,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,sunshine_duration,city,month,is_flowering_colza,is_flowering_tournesol,is_flowering_lavande,is_flowering_pommiers,activity_score_colza,activity_score_tournesol,activity_score_lavande,activity_score_pommiers
2017-01-01,0.8,0.0,13.2,99,2178.74,Orleans,1,0,0,0,0,0,0,0,0
2017-01-02,1.6,0.7,14.6,99,0.0,Orleans,1,0,0,0,0,0,0,0,0
2017-01-03,0.3,0.0,11.7,99,0.0,Orleans,1,0,0,0,0,0,0,0,0
2017-01-04,2.7,0.7,16.9,98,0.0,Orleans,1,0,0,0,0,0,0,0,0
2017-01-05,5.4,0.0,9.4,96,26299.6,Orleans,1,0,0,0,0,0,0,0,0
2017-01-06,1.2,0.0,8.7,95,26392.14,Orleans,1,0,0,0,0,0,0,0,0
2017-01-07,-0.0,0.1,10.7,91,331.16,Orleans,1,0,0,0,0,0,0,0,0
2017-01-08,4.0,0.1,11.4,100,0.0,Orleans,1,0,0,0,0,0,0,0,0
2017-01-09,6.5,2.1,16.6,100,0.0,Orleans,1,0,0,0,0,0,0,0,0
2017-01-10,7.6,4.7,23.0,96,20075.43,Orleans,1,0,0,0,0,0,0,0,0
2017-01-11,9.7,0.4,21.3,98,324.55,Orleans,1,0,0,0,0,0,0,0,0
2017-01-12,8.1,4.8,45.1,96,0.0,Orleans,1,0,0,0,0,0,0,0,0
2017-01-13,4.9,1.7,34.6,86,23804.92,Orleans,1,0,0,0,0,0,0,0,0
2017-01-14,4.1,5.1,19.1,96,27239.42,Orleans,1,0,0,0,0,0,0,0,0
2017-01-15,3.8,6.3,11.1,100,0.0,Orleans,1,0,0,0,0,0,0,0,0
2017-01-16,3.0,1.6,12.8,100,7349.74,Orleans,1,0,0,0,0,0,0,0,0
2017-01-17,0.5,0.0,19.8,94,27754.56,Orleans,1,0,0,0,0,0,0,0,0
2017-01-18,1.2,0.0,24.0,72,27907.14,Orleans,1,0,0,0,0,0,0,0,0
2017-01-19,0.6,0.0,18.4,81,28063.36,Orleans,1,0,0,0,0,0,0,0,0
2017-01-20,0.8,0.0,10.9,87,28222.97,Orleans,1,0,0,0,0,0,0,0,0
2017-01-21,4.4,0.0,7.9,91,28367.06,Orleans,1,0,0,0,0,0,0,0,0
2017-01-22,5.5,0.0,11.5,90,28230.99,Orleans,1,0,0,0,0,0,0,0,0
2017-01-23,3.6,0.0,12.1,91,28510.03,Orleans,1,0,0,0,0,0,0,0,0
2017-01-24,1.3,0.1,8.5,98,2649.68,Orleans,1,0,0,0,0,0,0,0,0
2017-01-25,0.4,0.0,16.3,96,28735.91,Orleans,1,0,0,0,0,0,0,0,0
2017-01-26,6.0,0.2,16.0,86,28875.16,Orleans,1,0,0,0,0,0,0,0,0
2017-01-27,10.8,0.5,20.5,88,20676.4,Orleans,1,0,0,0,0,0,0,0,0
2017-01-28,9.1,0.1,20.1,94,14961.8,Orleans,1,0,0,0,0,0,0,0,0
2017-01-29,8.7,0.8,19.4,98,8300.26,Orleans,1,0,0,0,0,0,0,0,0
2017-01-30,10.5,5.4,19.6,100,0.0,Orleans,1,0,0,0,0,0,0,0,0
2017-01-31,12.5,2.3,13.5,100,1541.2,Orleans,1,0,0,0,0,0,0,0,0
2017-02-01,12.4,0.2,13.2,98,17358.44,Orleans,2,0,0,0,0,0,0,0,0
2017-02-02,12.1,5.0,19.2,93,10841.09,Orleans,2,0,0,0,0,0,0,0,0
2017-02-03,9.8,2.9,42.4,95,7719.32,Orleans,2,0,0,0,0,0,0,0,0
2017-02-04,8.1,5.4,31.2,93,4870.97,Orleans,2,0,0,0,0,0,0,0,0
2017-02-05,10.2,5.2,26.5,93,22301.3,Orleans,2,0,0,0,0,0,0,0,0
2017-02-06,7.6,0.1,26.7,94,10613.89,Orleans,2,0,0,0,0,0,0,0,0
2017-02-07,10.5,6.7,19.0,98,16527.22,Orleans,2,0,0,0,0,0,0,0,0
2017-02-08,8.2,0.3,16.1,96,26907.65,Orleans,2,0,0,0,0,0,0,0,0
2017-02-09,5.6,0.1,13.8,96,4388.7,Orleans,2,0,0,0,0,0,0,0,0
2017-02-10,3.2,0.0,13.2,94,11316.82,Orleans,2,0,0,0,0,0,0,0,0
2017-02-11,2.6,0.0,10.8,95,16236.9,Orleans,2,0,0,0,0,0,0,0,0
2017-02-12,10.0,6.4,20.7,94,13235.34,Orleans,2,0,0,0,0,0,0,0,0
2017-02-13,13.4,0.0,21.3,75,29463.63,Orleans,2,0,0,0,0,0,0,0,0
2017-02-14,14.2,1.7,22.2,88,9105.07,Orleans,2,0,0,0,0,0,0,0,0
2017-02-15,15.7,1.2,14.1,93,32629.11,Orleans,2,0,0,0,0,0,0,0,0
2017-02-16,12.8,4.0,12.6,98,17025.32,Orleans,2,0,0,0,0,0,0,0,0
2017-02-17,9.9,0.0,9.8,98,31802.79,Orleans,2,0,0,0,0,0,0,0,0
2017-02-18,11.3,0.0,11.5,95,33803.24,Orleans,2,0,0,0,0,0,0,0,0
2017-02-19,10.7,0.0,10.3,100,29241.81,Orleans,2,0,0,0,0,0,0,0,0
2017-02-20,9.5,0.0,16.1,99,0.0,Orleans,2,0,0,0,0,0,0,0,0
2017-02-21,11.5,0.4,17.2,99,0.0,Orleans,2,0,0,0,0,0,0,0,0
2017-02-22,11.2,0.2,22.5,89,141.5,Orleans,2,0,0,0,0,0,0,0,0
2017-02-23,10.2,1.0,32.3,89,0.0,Orleans,2,0,0,0,0,0,0,0,0
2017-02-24,8.5,0.2,20.4,92,35078.02,Orleans,2,0,0,0,0,0,0,0,0
2017-02-25,10.1,0.0,13.7,95,35294.08,Orleans,2,0,0,0,0,0,0,0,0
2017-02-26,11.1,0.1,23.2,91,1820.5,Orleans,2,0,0,0,0,0,0,0,0
2017-02-27,11.9,9.6,38.0,94,3136.62,Orleans,2,0,0,0,0,0,0,0,0
2017-02-28,7.0,9.6,29.8,95,19869.79,Orleans,2,0,0,0,0,0,0,0,0
2017-03-01,10.5,8.4,31.9,95,0.0,Orleans,3,1,0,0,0,0,0,0,0
2017-03-02,10.5,0.4,30.3,93,30884.93,Orleans,3,1,0,0,0,0,0,0,0
2017-03-03,16.6,1.2,22.2,79,27861.87,Orleans,3,1,0,0,0,1,0,0,0
2017-03-04,10.9,22.2,24.5,96,0.0,Orleans,3,1,0,0,0,0,0,0,0
2017-03-05,10.1,6.9,36.7,95,8321.09,Orleans,3,1,0,0,0,0,0,0,0
2017-03-06,8.9,10.3,32.8,93,7200.0,Orleans,3,1,0,0,0,0,0,0,0
2017-03-07,9.8,0.1,22.7,89,12940.19,Orleans,3,1,0,0,0,1,0,0,0
2017-03-08,13.4,3.0,26.2,99,3600.0,Orleans,3,1,0,0,0,0,0,0,0
2017-03-09,13.8,0.7,21.5,94,0.0,Orleans,3,1,0,0,0,0,0,0,0
2017-03-10,13.6,0.3,13.1,94,23905.38,Orleans,3,1,0,0,0,1,0,0,0
2017-03-11,17.0,0.0,11.4,93,37026.32,Orleans,3,1,0,0,0,2,0,0,0
2017-03-12,16.9,0.0,18.2,96,35082.53,Orleans,3,1,0,0,0,2,0,0,0
2017-03-13,15.4,0.0,21.4,96,33194.26,Orleans,3,1,0,0,0,2,0,0,0
2017-03-14,14.0,0.0,11.2,98,37969.6,Orleans,3,1,0,0,0,1,0,0,0
2017-03-15,12.6,0.0,11.6,96,16175.74,Orleans,3,1,0,0,0,1,0,0,0
2017-03-16,19.4,0.0,9.5,95,39366.37,Orleans,3,1,0,0,0,2,0,0,0
2017-03-17,11.5,0.0,13.4,100,1075.26,Orleans,3,1,0,0,0,1,0,0,0
2017-03-18,12.2,1.0,28.0,85,314.8,Orleans,3,1,0,0,0,0,0,0,0
2017-03-19,12.6,0.4,22.8,95,0.0,Orleans,3,1,0,0,0,0,0,0,0
2017-03-20,11.4,0.1,24.0,92,12176.82,Orleans,3,1,0,0,0,1,0,0,0
2017-03-21,10.0,2.1,21.4,91,1457.54,Orleans,3,1,0,0,0,0,0,0,0
2017-03-22,11.7,10.1,20.9,95,31111.29,Orleans,3,1,0,0,0,1,0,0,0
2017-03-23,10.6,10.0,14.0,97,14118.23,Orleans,3,1,0,0,0,1,0,0,0
2017-03-24,13.6,1.7,18.9,99,7702.94,Orleans,3,1,0,0,0,1,0,0,0
2017-03-25,16.3,0.0,26.0,91,38730.04,Orleans,3,1,0,0,0,1,0,0,0
2017-03-26,17.4,0.0,13.3,93,30257.15,Orleans,3,1,0,0,0,2,0,0,0
