time,temperature_2m_max,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,sunshine_duration,city,month,is_flowering_colza,is_flowering_tournesol,is_flowering_lavande,is_flowering_pommiers,activity_score_colza,activity_score_tournesol,activity_score_lavande,activity_score_pommiers
2017-01-01,9.2,0.0,8.4,92,28406.9,Pau,1,0,0,0,0,0,0,0,0
2017-01-02,8.4,0.0,10.2,89,25801.72,Pau,1,0,0,0,0,0,0,0,0
2017-01-03,8.0,0.0,9.0,97,28419.26,Pau,1,0,0,0,0,0,0,0,0
2017-01-04,7.2,0.0,8.2,88,28469.2,Pau,1,0,0,0,0,0,0,0,0
2017-01-05,6.4,0.0,9.4,94,28532.2,Pau,1,0,0,0,0,0,0,0,0
2017-01-06,6.2,0.0,10.9,95,28608.03,Pau,1,0,0,0,0,0,0,0,0
2017-01-07,6.0,0.0,8.0,85,28638.62,Pau,1,0,0,0,0,0,0,0,0
2017-01-08,4.4,0.2,8.6,89,5513.6,Pau,1,0,0,0,0,0,0,0,0
2017-01-09,9.5,0.2,8.3,96,28635.85,Pau,1,0,0,0,0,0,0,0,0
2017-01-10,7.7,15.7,22.9,98,0.0,Pau,1,0,0,0,0,0,0,0,0
2017-01-11,10.9,1.2,15.5,99,0.0,Pau,1,0,0,0,0,0,0,0,0
2017-01-12,14.2,6.0,27.5,92,16094.82,Pau,1,0,0,0,0,0,0,0,0
2017-01-13,8.9,12.2,24.5,92,20083.0,Pau,1,0,0,0,0,0,0,0,0
2017-01-14,5.6,5.4,12.7,93,27479.39,Pau,1,0,0,0,0,0,0,0,0
2017-01-15,5.4,15.5,14.2,95,0.0,Pau,1,0,0,0,0,0,0,0,0
2017-01-16,8.0,22.7,15.1,99,2904.23,Pau,1,0,0,0,0,0,0,0,0
2017-01-17,4.4,0.4,11.4,92,30002.08,Pau,1,0,0,0,0,0,0,0,0
2017-01-18,-0.3,0.0,7.0,84,26609.2,Pau,1,0,0,0,0,0,0,0,0
2017-01-19,3.1,0.0,9.8,90,30280.09,Pau,1,0,0,0,0,0,0,0,0
2017-01-20,5.6,0.0,7.9,79,29239.22,Pau,1,0,0,0,0,0,0,0,0
2017-01-21,10.1,0.0,7.9,70,30128.22,Pau,1,0,0,0,0,0,0,0,0
2017-01-22,8.0,0.0,8.3,91,11227.93,Pau,1,0,0,0,0,0,0,0,0
2017-01-23,8.5,0.0,9.8,92,25688.89,Pau,1,0,0,0,0,0,0,0,0
2017-01-24,8.9,0.0,13.7,96,30722.03,Pau,1,0,0,0,0,0,0,0,0
