time,temperature_2m_max,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,sunshine_duration,city,month,is_flowering_colza,is_flowering_tournesol,is_flowering_lavande,is_flowering_pommiers,activity_score_colza,activity_score_tournesol,activity_score_lavande,activity_score_pommiers
2017-01-01,9.5,0.0,9.4,100,11886.48,Avignon,1,0,0,0,0,0,0,0,0
2017-01-02,10.9,0.0,32.9,100,21432.64,Avignon,1,0,0,0,0,0,0,0,0
2017-01-03,4.7,0.0,40.2,82,27893.33,Avignon,1,0,0,0,0,0,0,0,0
2017-01-04,6.9,0.0,40.2,77,27956.22,Avignon,1,0,0,0,0,0,0,0,0
2017-01-05,6.6,0.0,43.9,73,28084.55,Avignon,1,0,0,0,0,0,0,0,0
2017-01-06,2.9,0.0,40.7,58,28151.91,Avignon,1,0,0,0,0,0,0,0,0
2017-01-07,3.9,0.0,39.4,54,28221.01,Avignon,1,0,0,0,0,0,0,0,0
2017-01-08,5.3,0.0,48.4,78,12469.9,Avignon,1,0,0,0,0,0,0,0,0
2017-01-09,5.6,0.0,40.6,79,28295.34,Avignon,1,0,0,0,0,0,0,0,0
2017-01-10,7.1,1.9,31.7,86,3636.48,Avignon,1,0,0,0,0,0,0,0,0
2017-01-11,9.6,0.0,30.4,85,28444.11,Avignon,1,0,0,0,0,0,0,0,0
2017-01-12,12.9,2.9,19.0,94,28325.17,Avignon,1,0,0,0,0,0,0,0,0
2017-01-13,10.1,0.8,29.2,94,28755.25,Avignon,1,0,0,0,0,0,0,0,0
2017-01-14,6.7,0.0,34.7,72,28920.83,Avignon,1,0,0,0,0,0,0,0,0
2017-01-15,5.7,0.1,41.1,74,29093.31,Avignon,1,0,0,0,0,0,0,0,0
2017-01-16,5.4,0.0,39.6,76,29102.94,Avignon,1,0,0,0,0,0,0,0,0
2017-01-17,2.2,0.0,41.4,61,29371.51,Avignon,1,0,0,0,0,0,0,0,0
2017-01-18,2.9,0.0,38.2,63,29463.97,Avignon,1,0,0,0,0,0,0,0,0
2017-01-19,5.8,0.0,31.9,71,29480.09,Avignon,1,0,0,0,0,0,0,0,0
2017-01-20,8.9,0.0,17.0,72,29302.31,Avignon,1,0,0,0,0,0,0,0,0
2017-01-21,8.3,0.2,28.5,73,29619.71,Avignon,1,0,0,0,0,0,0,0,0
