time,temperature_2m_max,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,sunshine_duration,city,month,is_flowering_colza,is_flowering_tournesol,is_flowering_lavande,is_flowering_pommiers,activity_score_colza,activity_score_tournesol,activity_score_lavande,activity_score_pommiers
2013-01-01,8.9,8.1,25.5,95,25155.29,Orleans,1,0,0,0,0,0,0,0,0
2013-01-02,7.7,0.0,11.4,96,23028.77,Orleans,1,0,0,0,0,0,0,0,0
2013-01-03,9.5,0.1,15.0,97,0.0,Orleans,1,0,0,0,0,0,0,0,0
2013-01-04,9.8,0.0,9.1,97,2750.19,Orleans,1,0,0,0,0,0,0,0,0
2013-01-05,9.0,0.0,10.2,98,3600.0,Orleans,1,0,0,0,0,0,0,0,0
2013-01-06,7.6,0.0,8.7,98,0.0,Orleans,1,0,0,0,0,0,0,0,0
2013-01-07,7.8,0.0,7.2,97,24067.97,Orleans,1,0,0,0,0,0,0,0,0
2013-01-08,5.3,0.0,7.6,99,0.0,Orleans,1,0,0,0,0,0,0,0,0
2013-01-09,5.0,0.6,10.7,94,0.0,Orleans,1,0,0,0,0,0,0,0,0
2013-01-10,8.4,11.7,17.7,99,0.0,Orleans,1,0,0,0,0,0,0,0,0
2013-01-11,7.7,4.2,22.0,95,20080.82,Orleans,1,0,0,0,0,0,0,0,0
2013-01-12,5.8,3.7,16.6,97,2657.99,Orleans,1,0,0,0,0,0,0,0,0
2013-01-13,4.6,0.5,13.4,100,2965.35,Orleans,1,0,0,0,0,0,0,0,0
2013-01-14,2.3,0.5,22.9,95,22855.93,Orleans,1,0,0,0,0,0,0,0,0
2013-01-15,4.1,3.2,25.7,99,27455.15,Orleans,1,0,0,0,0,0,0,0,0
2013-01-16,0.1,0.0,16.1,99,27599.2,Orleans,1,0,0,0,0,0,0,0,0
2013-01-17,0.0,0.0,8.5,93,27747.58,Orleans,1,0,0,0,0,0,0,0,0
2013-01-18,-0.1,2.3,18.5,88,95.62,Orleans,1,0,0,0,0,0,0,0,0
2013-01-19,1.7,2.6,20.9,96,0.0,Orleans,1,0,0,0,0,0,0,0,0
2013-01-20,-0.2,10.9,19.7,95,0.0,Orleans,1,0,0,0,0,0,0,0,0
2013-01-21,2.0,3.9,19.8,98,1842.87,Orleans,1,0,0,0,0,0,0,0,0
2013-01-22,4.7,2.0,15.0,99,0.0,Orleans,1,0,0,0,0,0,0,0,0
2013-01-23,5.1,0.0,10.0,97,21179.81,Orleans,1,0,0,0,0,0,0,0,0
2013-01-24,3.8,0.0,15.4,98,14811.23,Orleans,1,0,0,0,0,0,0,0,0
2013-01-25,0.2,0.0,14.3,90,11551.59,Orleans,1,0,0,0,0,0,0,0,0
2013-01-26,6.3,1.0,15.6,96,10800.0,Orleans,1,0,0,0,0,0,0,0,0
2013-01-27,7.9,4.1,28.6,96,1319.1,Orleans,1,0,0,0,0,0,0,0,0
2013-01-28,8.8,0.4,27.7,95,19769.96,Orleans,1,0,0,0,0,0,0,0,0
2013-01-29,11.5,0.5,32.9,89,0.0,Orleans,1,0,0,0,0,0,0,0,0
2013-01-30,13.0,2.2,34.6,91,3811.62,Orleans,1,0,0,0,0,0,0,0,0
2013-01-31,10.9,0.3,27.8,99,2333.19,Orleans,1,0,0,0,0,0,0,0,0
2013-02-01,11.5,18.9,28.4,99,0.0,Orleans,2,0,0,0,0,0,0,0,0
2013-02-02,6.2,2.5,31.3,95,29701.39,Orleans,2,0,0,0,0,0,0,0,0
2013-02-03,5.7,0.6,21.8,90,14460.75,Orleans,2,0,0,0,0,0,0,0,0
2013-02-04,10.3,1.0,23.2,97,6424.25,Orleans,2,0,0,0,0,0,0,0,0
2013-02-05,6.6,5.7,31.2,89,16470.21,Orleans,2,0,0,0,0,0,0,0,0
2013-02-06,6.4,4.1,28.9,91,21481.38,Orleans,2,0,0,0,0,0,0,0,0
2013-02-07,4.9,0.2,25.8,78,26529.65,Orleans,2,0,0,0,0,0,0,0,0
2013-02-08,5.3,0.7,16.4,96,30530.97,Orleans,2,0,0,0,0,0,0,0,0
2013-02-09,4.0,0.9,13.3,94,9916.9,Orleans,2,0,0,0,0,0,0,0,0
2013-02-10,6.3,13.4,25.2,98,0.0,Orleans,2,0,0,0,0,0,0,0,0
2013-02-11,6.9,8.8,19.8,99,7189.5,Orleans,2,0,0,0,0,0,0,0,0
2013-02-12,4.3,0.0,12.3,97,314.92,Orleans,2,0,0,0,0,0,0,0,0
2013-02-13,1.9,0.0,12.2,93,23561.94,Orleans,2,0,0,0,0,0,0,0,0
2013-02-14,8.4,3.9,19.2,99,1053.28,Orleans,2,0,0,0,0,0,0,0,0
2013-02-15,9.2,0.0,13.3,98,26921.85,Orleans,2,0,0,0,0,0,0,0,0
2013-02-16,8.0,0.0,7.8,100,22225.27,Orleans,2,0,0,0,0,0,0,0,0
2013-02-17,8.7,0.0,18.8,95,33594.23,Orleans,2,0,0,0,0,0,0,0,0
2013-02-18,8.4,0.0,16.3,91,33802.65,Orleans,2,0,0,0,0,0,0,0,0
2013-02-19,9.2,0.0,9.0,95,34010.72,Orleans,2,0,0,0,0,0,0,0,0
2013-02-20,7.6,0.0,20.8,94,32333.48,Orleans,2,0,0,0,0,0,0,0,0
