time,temperature_2m_max,precipitation_sum,wind_speed_10m_max,relative_humidity_2m_max,sunshine_duration,city
2013-01-01,10.8,1.7,18.0,100,239.46,Avignon
2013-01-02,8.9,0.0,35.5,100,27830.55,Avignon
2013-01-03,10.4,0.0,24.8,77,27954.11,Avignon
2013-01-04,12.7,0.0,27.1,80,27776.24,Avignon
2013-01-05,11.5,0.0,37.8,83,28020.04,Avignon
2013-01-06,13.0,0.0,34.9,75,28151.39,Avignon
2013-01-07,13.5,0.0,30.8,71,28155.32,Avignon
2013-01-08,13.2,0.0,14.6,82,28292.17,Avignon
2013-01-09,10.7,0.0,10.9,87,28433.38,Avignon
2013-01-10,10.2,0.0,21.2,93,28438.98,Avignon
2013-01-11,11.4,0.0,25.6,93,28370.98,Avignon
2013-01-12,8.6,0.9,18.5,90,27527.22,Avignon
2013-01-13,8.8,0.9,23.8,92,8308.69,Avignon
2013-01-14,7.6,0.0,29.0,76,28838.37,Avignon
2013-01-15,5.8,1.1,16.5,83,19456.25,Avignon
2013-01-16,4.5,0.0,29.0,70,21504.94,Avignon
2013-01-17,2.5,0.0,39.3,61,29367.13,Avignon
2013-01-18,4.8,0.1,30.0,72,19552.55,Avignon
2013-01-19,9.6,7.9,30.4,88,0.0,Avignon
2013-01-20,9.5,11.2,33.0,94,10064.67,Avignon
2013-01-21,9.8,0.0,13.3,90,28811.89,Avignon
2013-01-22,9.7,0.0,13.0,88,29635.68,Avignon
2013-01-23,7.0,5.0,22.0,88,661.57,Avignon
2013-01-24,8.0,0.0,33.2,90,29655.5,Avignon
2013-01-25,5.9,0.0,34.2,64,30424.48,Avignon
2013-01-26,9.3,0.0,21.3,85,28979.06,Avignon
2013-01-27,8.9,1.4,20.2,90,17288.62,Avignon
2013-01-28,11.7,8.2,29.2,92,30278.87,Avignon
2013-01-29,13.1,0.0,11.9,91,30734.88,Avignon
2013-01-30,17.2,0.0,10.9,94,26432.96,Avignon
2013-01-31,15.0,0.0,18.3,91,30885.72,Avignon
2013-02-01,15.2,0.0,12.0,94,20443.24,Avignon
2013-02-02,10.0,1.3,42.4,95,30065.64,Avignon
2013-02-03,7.7,0.0,49.7,58,32212.37,Avignon
2013-02-04,12.3,0.0,22.4,80,31250.34,Avignon
2013-02-05,13.5,0.3,16.3,94,29795.18,Avignon
2013-02-06,10.2,0.8,24.9,85,29816.42,Avignon
2013-02-07,6.9,0.0,40.2,70,32895.45,Avignon
2013-02-08,7.4,0.0,28.2,70,33070.41,Avignon
2013-02-09,6.7,0.0,28.9,68,33246.64,Avignon
2013-02-10,3.0,4.4,16.8,89,0.0,Avignon
2013-02-11,6.5,11.8,16.8,100,6763.47,Avignon
2013-02-12,9.6,0.0,27.5,99,31811.64,Avignon
2013-02-13,6.3,0.0,34.3,77,33960.43,Avignon
2013-02-14,9.8,0.2,26.3,68,34140.18,Avignon
2013-02-15,11.2,0.3,28.4,89,34320.11,Avignon
2013-02-16,11.6,0.0,20.7,89,34500.03,Avignon
2013-02-17,12.2,0.0,12.0,92,33634.47,Avignon
2013-02-18,11.5,0.4,8.2,93,28615.7,Avignon
2013-02-19,12.0,0.0,7.7,95,33973.33,Avignon
2013-02-20,12.3,0.0,22.9,92,35219.06,Avignon
2013-02-21,8.6,0.0,22.0,82,35386.1,Avignon
2013-02-22,6.4,0.0,23.8,69,35470.36,Avignon
2013-02-23,3.7,0.0,34.3,62,34024.79,Avignon
2013-02-24,4.5,0.0,39.6,51,35638.09,Avignon
2013-02-25,7.2,0.0,23.5,69,35722.33,Avignon
2013-02-26,9.9,0.0,18.0,69,35898.63,Avignon
2013-02-27,11.7,0.0,15.2,80,36046.45,Avignon
2013-02-28,12.7,0.1,9.1,91,33899.34,Avignon
2013-03-01,11.5,0.0,21.6,86,9989.14,Avignon
2013-03-02,13.4,0.0,22.1,79,36343.54,Avignon
2013-03-03,15.7,0.0,10.1,93,36622.09,Avignon
2013-03-04,15.7,0.0,22.7,92,36751.87,Avignon
2013-03-05,13.6,1.6,29.6,70,1939.52,Avignon
2013-03-06,12.2,28.6,26.1,89,0.0,Avignon
2013-03-07,15.4,6.1,16.2,93,104.86,Avignon
2013-03-08,17.2,20.5,23.7,96,21640.36,Avignon
2013-03-09,16.0,0.8,8.6,98,31270.38,Avignon
2013-03-10,15.6,0.0,9.5,100,32056.96,Avignon
2013-03-11,16.5,0.0,10.3,98,37534.48,Avignon
2013-03-12,14.5,0.8,11.9,96,29771.88,Avignon
2013-03-13,9.2,0.0,38.2,84,38552.42,Avignon
2013-03-14,7.4,0.0,50.2,51,39031.44,Avignon
2013-03-15,7.4,0.0,39.9,52,39263.21,Avignon
2013-03-16,11.6,1.4,27.0,82,31289.33,Avignon
2013-03-17,8.1,24.2,31.2,89,0.0,Avignon
2013-03-18,12.2,14.7,22.7,93,28275.75,Avignon
2013-03-19,12.5,0.0,11.6,80,36383.56,Avignon
2013-03-20,15.0,3.1,20.3,89,29905.68,Avignon
2013-03-21,15.2,0.0,12.6,82,40604.8,Avignon
2013-03-22,15.9,0.0,21.2,91,40440.5,Avignon
2013-03-23,15.7,0.4,17.7,90,21049.24,Avignon
2013-03-24,11.7,18.3,10.4,93,0.0,Avignon
2013-03-25,15.3,0.0,27.6,93,40959.79,Avignon
2013-03-26,14.2,0.0,23.2,78,41522.7,Avignon
2013-03-27,15.1,0.0,14.1,89,40203.37,Avignon
2013-03-28,11.2,8.9,16.9,91,0.0,Avignon
2013-03-29,14.7,1.7,11.0,100,15754.47,Avignon
2013-03-30,15.7,11.9,23.0,94,30450.07,Avignon
2013-03-31,12.7,0.0,27.8,84,41926.84,Avignon
2013-04-01,11.8,2.9,14.1,94,1401.8,Avignon
2013-04-02,14.6,0.7,12.7,97,23570.92,Avignon
2013-04-03,15.7,0.2,17.4,88,42382.16,Avignon
2013-04-04,15.0,5.2,18.7,93,11173.19,Avignon
2013-04-05,15.8,0.3,17.2,93,39775.63,Avignon
2013-04-06,10.2,6.1,25.2,84,119.15,Avignon
2013-04-07,14.9,0.0,28.5,68,43080.43,Avignon
2013-04-08,14.2,1.9,11.0,89,24553.72,Avignon
2013-04-09,16.1,0.3,11.2,94,42980.3,Avignon
2013-04-10,17.7,0.0,16.4,90,41117.89,Avignon
2013-04-11,19.5,1.6,28.5,91,37366.67,Avignon
2013-04-12,18.3,1.7,14.0,96,42774.04,Avignon
2013-04-13,19.9,0.0,10.2,88,44684.59,Avignon
2013-04-14,21.5,0.0,16.1,92,44854.34,Avignon
2013-04-15,21.9,0.0,11.2,99,44009.56,Avignon
2013-04-16,24.6,0.0,10.6,88,45189.85,Avignon
2013-04-17,24.3,0.0,15.2,94,45355.35,Avignon
2013-04-18,24.3,0.0,9.4,81,45519.18,Avignon
2013-04-19,16.0,0.1,35.7,70,41666.48,Avignon
2013-04-20,12.1,5.1,34.6,72,22698.47,Avignon
2013-04-21,15.8,0.0,23.7,82,30024.41,Avignon
2013-04-22,18.2,0.0,28.5,67,45363.37,Avignon
2013-04-23,19.6,0.0,19.5,84,44745.48,Avignon
2013-04-24,22.2,0.0,11.0,95,46078.07,Avignon
2013-04-25,26.9,0.0,14.1,92,46040.54,Avignon
2013-04-26,19.0,9.0,8.7,94,12050.27,Avignon
2013-04-27,14.3,14.0,21.9,96,14174.67,Avignon
2013-04-28,13.0,9.1,19.5,91,21525.21,Avignon
2013-04-29,16.1,15.1,22.8,92,5233.37,Avignon
2013-04-30,17.7,19.7,13.4,95,4186.05,Avignon
2013-05-01,20.2,19.9,11.6,97,32579.59,Avignon
2013-05-02,21.4,6.2,8.6,95,46760.86,Avignon
2013-05-03,19.1,6.8,20.5,97,46045.36,Avignon
2013-05-04,19.7,0.0,25.1,78,46983.74,Avignon
2013-05-05,18.9,2.3,20.2,86,21322.65,Avignon
2013-05-06,22.7,0.0,16.4,87,47275.24,Avignon
2013-05-07,23.2,0.0,10.3,88,43582.31,Avignon
2013-05-08,24.2,0.9,12.2,91,41433.95,Avignon
2013-05-09,22.7,4.8,13.2,96,16862.0,Avignon
2013-05-10,18.9,1.4,29.0,98,41514.12,Avignon
2013-05-11,19.4,0.0,28.7,67,47883.93,Avignon
2013-05-12,19.0,0.0,30.1,68,47944.32,Avignon
2013-05-13,21.6,0.0,26.2,67,48080.9,Avignon
2013-05-14,23.6,0.2,20.8,87,43234.0,Avignon
2013-05-15,18.0,18.0,18.1,93,12440.32,Avignon
2013-05-16,16.1,20.1,17.7,95,35107.95,Avignon
2013-05-17,16.4,7.6,17.4,98,47716.82,Avignon
2013-05-18,14.6,37.5,36.6,93,3372.48,Avignon
2013-05-19,18.2,3.6,18.6,96,48697.52,Avignon
2013-05-20,18.9,0.0,14.0,82,49244.88,Avignon
2013-05-21,17.9,0.0,14.8,87,40327.76,Avignon
2013-05-22,18.3,0.0,40.8,78,49166.99,Avignon
2013-05-23,19.1,0.1,31.5,65,49132.45,Avignon
2013-05-24,15.1,0.0,26.0,71,49592.39,Avignon
2013-05-25,15.2,2.3,20.7,82,48665.69,Avignon
2013-05-26,17.7,0.0,27.7,71,49929.11,Avignon
2013-05-27,20.6,0.0,19.2,77,46978.09,Avignon
2013-05-28,16.3,10.5,20.6,92,25045.51,Avignon
2013-05-29,17.2,0.4,13.5,96,49239.99,Avignon
2013-05-30,18.8,2.2,18.5,85,48405.38,Avignon
2013-05-31,18.5,0.0,40.4,83,46764.8,Avignon
2013-06-01,19.8,0.0,44.8,71,50007.95,Avignon
2013-06-02,20.5,0.0,38.6,70,50545.35,Avignon
2013-06-03,22.1,0.0,29.6,63,50594.55,Avignon
2013-06-04,23.3,0.0,20.2,75,49511.68,Avignon
2013-06-05,23.8,0.2,12.8,91,50687.77,Avignon
2013-06-06,25.6,0.0,13.2,93,50858.84,Avignon
2013-06-07,26.3,0.0,13.5,82,49838.21,Avignon
2013-06-08,21.6,6.7,16.3,84,22438.9,Avignon
2013-06-09,21.4,10.0,20.7,89,37085.11,Avignon
2013-06-10,23.8,0.2,17.2,95,51017.68,Avignon
2013-06-11,25.3,0.0,23.2,81,50531.75,Avignon
2013-06-12,27.8,0.0,22.3,73,51083.96,Avignon
2013-06-13,29.7,0.0,18.1,88,50770.41,Avignon
2013-06-14,28.7,0.0,23.1,71,50487.25,Avignon
2013-06-15,30.4,0.0,11.5,83,50773.09,Avignon
2013-06-16,30.1,0.0,18.8,90,50925.84,Avignon
2013-06-17,33.4,0.0,25.1,80,51206.33,Avignon
2013-06-18,34.5,0.1,22.0,58,50310.72,Avignon
2013-06-19,28.5,2.1,27.8,77,45952.79,Avignon
2013-06-20,24.8,0.6,18.9,96,46445.26,Avignon
2013-06-21,27.4,0.0,11.7,81,48474.22,Avignon
2013-06-22,28.2,0.0,20.5,64,51007.12,Avignon
